area_code,area_name,census_geography,all_families,no_children,one_child_under_4,one_child_5_to_11,one_child_12_to_18,two_children_under_4,two_children_5_to_11,two_children_12_to_18,three_children_under_4,three_children_5_to_11,three_children_12_to_18,one_child_all,two_children_all,three_children_all,one_child_all_perc,two_children_all_perc,three_children_all_perc,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,37136,21343,2369,1681,3316,2233,2422,1396,1225,960,191,7366,6051,2376,19.8,16.3,6.4,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,87289,47857,7227,3983,6989,6110,5255,3036,3900,2486,446,18199,14401,6832,20.8,16.5,7.8,316407.00000592414,174926.57615038028
W06000022,Newport,la,41267,22402,3143,2026,3768,2685,2705,1418,1708,1180,232,8937,6808,3120,21.7,16.5,7.6,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,68467,38646,5072,3543,6168,4323,4414,2247,2223,1585,246,14783,10984,4054,21.6,16.0,5.9,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,53845,30383,3879,2850,4885,3269,3383,1768,1906,1282,240,11614,8420,3428,21.6,15.6,6.4,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,1770,1107,185,54,76,93,45,31,120,51,8,315,169,179,17.8,9.5,10.1,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,1619,913,144,66,141,116,92,58,53,31,5,351,266,89,21.7,16.4,5.5,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,2145,1214,187,98,143,174,122,38,88,79,2,428,334,169,20.0,15.6,7.9,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,2174,1267,127,76,146,172,172,82,67,58,7,349,426,132,16.1,19.6,6.1,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,2571,1461,157,111,254,147,187,100,76,64,14,522,434,154,20.3,16.9,6.0,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,1562,980,131,64,93,93,77,46,38,37,3,288,216,78,18.4,13.8,5.0,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,1685,938,113,80,131,109,112,61,78,49,14,324,282,141,19.2,16.7,8.4,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,2249,1362,118,56,170,146,176,107,56,44,14,344,429,114,15.3,19.1,5.1,315542.1435410684,180054.16599766392
