area_code,area_name,census_geography,country_of_birth_all,europe_inc_uk,united_kingdom_channel_iom,england,northern_ireland,scotland,wales,united_kingdom_unspecified,channel_islands_isle_of_man,ireland,other_europe_total,eu_countries_total,germany,lithuania,poland,romania,eu_countries_other,rest_of_europe_total,turkey,europe_other,africa_total,north_africa,central_and_western_africa,nigeria,other_central_and_western_africa_other,south_and_eastern_africa,kenya,south_africa,zimbabwe,south_and_eastern_africa_other,middle_east_and_asia_total,middle_east,iran,middle_east_other,eastern_asia,china,hong_kong,eastern_asia_other,southern_asia,bangladesh,india,pakistan,southern_asia_other,south_east_asia,central_asia,americas_and_the_caribbean_total,north_americas_and_the_caribbean,the_caribbean,united_states_of_america,north_america_other,central_america,south_america,antarctica_and_oceania_total,australia,antarctica_and_oceania_other,country_of_birth_other,uk_total,europe_total,rest_of_world_total,uk_total_perc,europe_total_perc,rest_of_world_total_perc,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,126336,122960,120181,23385,481,1430,94843,42,60,510,2209,1998,719,42,232,36,969,211,54,157,727,68,88,41,47,571,84,294,67,126,1727,224,53,171,361,154,169,38,568,62,364,82,60,572,2,677,538,133,252,153,35,104,245,151,94,0,120181,2990,3376,95.1,2.4,2.7,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,346090,314746,300123,58318,1211,2789,237678,127,243,2061,12319,11353,1491,234,2780,269,6579,966,206,760,7515,1469,1557,696,861,4489,534,711,505,2739,20668,4686,889,3797,3123,1881,817,425,10381,2208,4707,2647,819,2425,53,2429,1903,688,768,447,98,428,731,489,242,1,300123,15589,31343,86.7,4.5,9.1,316407.00000592414,174926.57615038028
W06000022,Newport,la,145736,137802,133403,18516,388,1077,113353,69,52,717,3630,3288,443,196,789,135,1725,342,181,161,1895,334,474,269,205,1087,81,278,235,493,5240,848,132,716,471,215,165,91,3139,809,915,1238,177,778,4,676,563,280,166,117,20,93,123,78,45,0,133403,4741,7934,91.5,3.3,5.4,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,234410,229891,227041,19106,397,1121,206394,23,68,500,2282,2054,628,33,531,37,825,228,123,105,1488,117,591,534,57,780,105,230,116,329,2477,169,26,143,773,499,253,21,822,89,410,159,164,712,1,389,311,62,153,96,22,56,165,113,52,0,227041,3078,4519,96.9,1.3,1.9,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,178806,176812,174600,14954,303,867,158458,18,58,356,1798,1678,581,29,376,77,615,120,68,52,449,59,52,36,16,338,25,163,58,92,1071,111,18,93,299,127,162,10,331,22,198,61,50,327,3,339,276,50,122,104,16,47,135,78,57,0,174600,2332,1994,97.6,1.3,1.1,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,8228,6286,5777,1356,30,69,4314,8,6,60,443,400,39,17,107,17,220,43,13,30,765,120,93,63,30,552,7,28,14,503,1019,426,16,410,139,81,30,28,395,72,232,34,57,50,9,131,115,69,33,13,2,14,27,14,13,0,5777,552,1942,70.2,6.7,23.6,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,5947,5653,5412,1016,39,61,4296,0,7,49,185,179,21,0,44,3,111,6,2,4,69,17,8,7,1,44,9,13,4,18,162,28,15,13,12,5,4,3,101,39,40,14,8,21,0,46,34,5,15,14,3,9,17,6,11,0,5412,247,294,91.0,4.2,4.9,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,8357,7622,7144,1228,24,63,5823,6,6,78,394,366,39,3,82,5,237,28,11,17,167,34,30,13,17,103,19,11,7,66,479,52,15,37,46,27,11,8,358,166,122,59,11,21,2,73,57,27,23,7,1,15,16,13,3,0,7144,506,735,85.5,6.1,8.8,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,7384,6955,6777,1190,27,77,5482,1,8,31,139,128,31,10,13,1,73,11,2,9,52,11,7,4,3,34,3,11,7,13,333,123,12,111,28,8,7,13,161,19,119,15,8,20,1,30,19,3,8,8,1,10,13,11,2,1,6777,189,428,91.8,2.6,5.8,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,8714,8373,8223,1192,25,72,6930,4,3,30,117,107,37,1,12,0,57,10,7,3,46,6,8,4,4,32,11,14,1,6,234,26,0,26,29,16,11,2,72,4,61,6,1,107,0,42,21,6,9,6,1,20,19,15,4,0,8223,160,341,94.4,1.8,3.9,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,6531,5983,5570,1607,40,100,3822,1,7,79,327,291,60,2,38,6,185,36,11,25,115,24,13,4,9,78,5,27,12,34,251,50,18,32,37,18,12,7,110,17,35,53,5,52,2,103,79,8,42,29,4,20,79,55,24,0,5570,449,548,85.3,6.9,8.4,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,5455,5374,5301,811,15,32,4443,0,2,11,60,59,17,0,9,1,32,1,0,1,21,2,4,4,0,15,4,9,0,2,41,5,1,4,9,5,4,0,13,0,4,9,0,14,0,12,11,1,8,2,0,1,7,4,3,0,5301,74,81,97.2,1.4,1.5,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,7748,7575,7357,1132,18,64,6142,1,0,54,164,148,29,1,25,4,89,16,3,13,35,4,4,3,1,27,1,13,5,8,87,20,4,16,15,3,10,2,39,12,17,7,3,13,0,34,23,2,14,7,8,3,17,12,5,0,7357,234,173,95.0,3.0,2.2,315542.1435410684,180054.16599766392
W02000387,Cardiff 021,msoa,5962,5620,5437,899,19,49,4470,0,3,32,148,134,19,2,28,3,82,14,2,12,67,17,11,6,5,39,10,6,2,21,230,47,6,41,30,9,14,7,104,7,61,22,14,49,0,27,20,5,9,6,1,6,18,12,6,0,5437,197,342,91.2,3.3,5.7,316534.8233989328,179882.69938471977
W02000384,Cardiff 018,msoa,5753,5426,5246,928,20,37,4258,3,2,45,133,113,14,0,32,7,60,20,0,20,61,15,16,6,10,30,5,6,2,17,235,30,5,25,22,14,3,5,145,6,85,34,20,37,1,25,22,7,11,4,0,3,6,3,3,0,5246,200,327,91.2,3.5,5.7,317550.9609321383,179967.79436724854
W02000385,Cardiff 019,msoa,6818,5971,5735,1488,24,66,4156,1,7,42,187,165,34,0,14,0,117,22,3,19,145,26,26,13,13,93,32,20,6,35,644,160,21,139,119,72,28,19,326,45,87,176,18,39,0,46,36,9,17,10,0,10,12,10,2,0,5735,258,847,84.1,3.8,12.4,318931.73089975474,179967.89790040077
W02000383,Cardiff 017,msoa,7219,6717,6562,600,24,39,5893,6,3,40,112,101,26,1,22,1,51,11,0,11,70,5,27,12,15,38,4,8,14,12,368,73,20,53,16,3,6,7,218,45,149,20,4,61,0,50,36,27,6,3,0,14,14,10,4,0,6562,166,502,90.9,2.3,7.0,320028.80355946417,180077.89351950734
W02000367,Cardiff 001,msoa,6068,5805,5645,1279,23,68,4275,0,6,27,127,117,23,0,12,0,82,10,0,10,52,13,2,0,2,37,8,7,7,15,163,42,15,27,24,12,7,5,85,0,54,21,10,12,0,40,33,5,21,7,3,4,8,8,0,0,5645,170,263,93.0,2.8,4.3,318112.1535024042,183540.9266083678
W02000370,Cardiff 004,msoa,6509,6323,6220,1039,14,53,5114,0,5,25,73,70,17,0,9,1,43,3,0,3,37,7,5,2,3,25,2,13,2,8,107,22,14,8,18,6,11,1,54,3,43,8,0,13,0,33,26,5,13,8,2,5,9,3,6,0,6220,106,186,95.6,1.6,2.9,315466.19002279395,182819.66194350368
W02000382,Cardiff 016,msoa,5738,5550,5389,421,13,34,4921,0,2,40,119,105,22,0,29,2,52,14,3,11,87,7,39,23,16,41,3,10,17,11,77,23,11,12,4,3,1,0,31,10,18,1,2,19,0,20,17,14,1,2,1,2,4,3,1,0,5389,175,188,93.9,3.0,3.3,322749.2920302189,180021.5445260411
W02000379,Cardiff 013,msoa,6270,5887,5697,551,29,38,5076,3,1,26,163,153,34,0,50,2,67,10,5,5,165,24,41,6,35,100,9,8,25,58,182,54,9,45,20,11,6,3,76,1,45,24,6,32,0,31,29,16,7,6,2,0,5,3,2,0,5697,200,383,90.9,3.2,6.1,323625.40885052015,180923.73970999802
W02000239,The Vale of Glamorgan 003,msoa,6679,6499,6388,1489,24,57,4811,7,6,26,79,70,23,0,13,0,34,9,1,8,42,6,6,3,3,30,3,20,1,6,83,16,8,8,23,8,10,5,35,1,20,6,8,9,0,36,31,3,17,11,1,4,19,12,7,0,6388,120,180,95.6,1.8,2.7,307395.09128592815,172945.20075659265
W02000277,Rhondda Cynon Taf 026,msoa,7000,6857,6748,736,12,52,5947,1,2,26,81,75,12,0,28,1,34,6,1,5,49,6,9,8,1,34,7,11,5,11,62,7,2,5,25,14,11,0,16,0,13,0,3,14,0,21,18,4,10,4,2,1,11,8,3,0,6748,115,143,96.4,1.6,2.0,311566.88545201515,185662.7045601383
W02000404,Cardiff 038,msoa,6048,5471,5161,772,13,38,4338,0,4,32,274,266,25,8,91,2,140,8,3,5,221,28,41,13,28,152,6,7,19,120,302,72,41,31,56,52,4,0,151,54,45,34,18,23,0,45,35,22,4,9,0,10,9,6,3,0,5161,318,577,85.3,5.3,9.5,320137.30289849057,176413.19151841872
W02000403,Cardiff 037,msoa,7213,6631,6295,696,11,56,5531,1,0,34,302,286,33,2,75,2,174,16,3,13,164,20,40,12,28,104,1,11,16,76,366,129,22,107,31,18,13,0,179,67,47,49,16,27,0,44,27,13,6,8,0,17,8,5,3,0,6295,352,582,87.3,4.9,8.1,321271.4848485954,176861.40012527682
W02000388,Cardiff 022,msoa,5888,5721,5594,483,13,52,5044,2,0,19,108,101,13,1,11,5,71,7,5,2,51,5,8,1,7,38,5,12,2,19,95,19,5,14,12,3,8,1,45,10,19,6,10,19,0,18,16,10,3,3,0,2,3,1,2,0,5594,134,167,95.0,2.3,2.8,321965.14948186494,178662.45996821942
W02000375,Cardiff 009,msoa,7062,6478,6255,743,17,43,5450,2,9,41,173,165,27,0,54,1,83,8,0,8,127,34,19,5,14,74,7,16,25,26,413,134,13,121,28,10,7,11,173,42,82,36,13,78,0,33,26,17,3,6,1,6,11,7,4,0,6255,231,584,88.6,3.3,8.3,320579.61476656364,180624.39380982492
W02000381,Cardiff 015,msoa,6271,5972,5800,435,9,24,5332,0,2,20,150,144,27,2,55,1,59,6,3,3,107,12,35,12,23,60,0,1,33,26,171,27,11,16,8,2,5,1,65,1,42,9,13,71,0,15,13,6,6,1,1,1,6,6,0,0,5800,178,299,92.5,2.8,4.8,321687.65765538416,180215.05874170273
W02000410,Cardiff 044,msoa,8423,6376,5768,1002,19,43,4704,0,0,56,552,512,24,7,163,6,312,40,10,30,658,130,82,24,58,446,59,16,21,350,1304,125,16,109,65,43,16,6,1043,248,290,432,73,67,4,69,58,36,18,4,0,11,16,8,8,0,5768,648,2047,68.5,7.7,24.3,317772.248829523,175402.7775575231
