area_code,area_name,census_geography,all_household,one_pers_all,one_pers_65,one_pers_other,fam_all,fam_65,fam_mar_all,fam_mar_no_ch,fam_mar_ch,fam_mar_non_ch,fam_cohab_all,fam_cohab_no_ch,fam_cohab_ch,fam_cohab_non_ch,fam_lone_all,fam_lone_ch,fam_lone_non_ch,other_hh_all,other_hh_ch,other_hh_stud,other_hh_65,other,one_pers_all_perc,fam_mar_all_perc,fam_cohab_all_perc,fam_lone_all_perc,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,53505,15851,7057,8794,34717,5005,18671,7053,8272,3346,5032,2392,2416,224,6009,4031,1978,2937,1134,6,154,1643,29.6,34.9,9.4,11.2,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,142557,47141,15436,31705,79593,8550,40635,14046,19651,6938,14569,8714,5238,617,15839,10936,4903,15823,3651,3298,426,8448,33.1,28.5,10.2,11.1,316407.00000592414,174926.57615038028
W06000022,Newport,la,61172,18849,7862,10987,38038,4890,19437,6792,9034,3611,5765,2744,2684,337,7946,5615,2331,4285,1602,321,206,2156,30.8,31.8,9.4,13.0,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,99663,29875,13173,16702,64104,7890,33280,12311,13726,7243,9883,4088,5179,616,13051,8944,4107,5684,2108,740,315,2521,30.0,33.4,9.9,13.1,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,74479,20196,9143,11053,50496,6161,26449,9737,11025,5687,8212,3435,4282,495,9674,6533,3141,3787,1707,9,195,1876,27.1,35.5,11.0,13.0,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,4132,1931,335,1596,1583,62,641,299,295,47,556,472,75,9,324,205,119,618,90,43,15,470,46.7,15.5,13.5,7.8,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,2688,967,336,631,1492,138,819,286,417,116,316,203,102,11,219,138,81,229,52,4,10,163,36.0,30.5,11.8,8.1,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,3566,1210,348,862,1909,176,952,326,455,171,426,273,136,17,355,239,116,447,111,6,12,318,33.9,26.7,11.9,10.0,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,3096,882,459,423,2040,375,1229,397,649,183,235,130,90,15,201,118,83,174,48,3,11,112,28.5,39.7,7.6,6.5,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,3628,1018,523,495,2387,345,1296,433,603,260,309,138,151,20,437,269,168,223,89,0,18,116,28.1,35.7,8.5,12.0,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,3147,1334,273,1061,1427,66,675,289,331,55,529,420,94,15,157,109,48,386,53,9,11,313,42.4,21.4,16.8,5.0,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,2215,527,185,342,1584,197,847,322,383,142,247,124,111,12,293,208,85,104,49,0,4,51,23.8,38.2,11.2,13.2,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,3349,1061,576,485,2126,367,1286,400,627,259,236,124,101,11,237,119,118,162,43,6,15,98,31.7,38.4,7.0,7.1,315542.1435410684,180054.16599766392
W02000387,Cardiff 021,msoa,2419,670,315,355,1589,245,949,317,449,183,222,116,90,16,173,97,76,160,39,5,14,102,27.7,39.2,9.2,7.2,316534.8233989328,179882.69938471977
W02000384,Cardiff 018,msoa,2322,607,335,272,1583,238,1041,348,525,168,179,104,66,9,125,52,73,132,40,3,8,81,26.1,44.8,7.7,5.4,317550.9609321383,179967.79436724854
W02000385,Cardiff 019,msoa,2453,686,404,282,1625,295,1017,312,525,180,145,81,59,5,168,103,65,142,47,6,14,75,28.0,41.5,5.9,6.8,318931.73089975474,179967.89790040077
W02000383,Cardiff 017,msoa,3027,981,288,693,1847,202,910,299,412,199,278,110,155,13,457,335,122,199,98,3,9,89,32.4,30.1,9.2,15.1,320028.80355946417,180077.89351950734
W02000367,Cardiff 001,msoa,2456,594,301,293,1768,357,1111,400,546,165,142,90,48,4,158,103,55,94,33,0,4,57,24.2,45.2,5.8,6.4,318112.1535024042,183540.9266083678
W02000370,Cardiff 004,msoa,2957,946,657,289,1887,504,1033,372,484,177,168,98,65,5,182,91,91,124,43,0,13,68,32.0,34.9,5.7,6.2,315466.19002279395,182819.66194350368
W02000382,Cardiff 016,msoa,2342,782,287,495,1383,165,563,164,254,145,202,55,130,17,453,324,129,177,94,0,10,73,33.4,24.0,8.6,19.3,322749.2920302189,180021.5445260411
W02000379,Cardiff 013,msoa,2562,756,219,537,1633,71,578,209,278,91,325,112,198,15,659,531,128,173,94,1,10,68,29.5,22.6,12.7,25.7,323625.40885052015,180923.73970999802
W02000239,The Vale of Glamorgan 003,msoa,2688,592,301,291,1962,357,1249,488,579,182,190,100,86,4,166,88,78,134,54,0,11,69,22.0,46.5,7.1,6.2,307395.09128592815,172945.20075659265
W02000277,Rhondda Cynon Taf 026,msoa,3098,998,393,605,1938,239,1000,397,393,210,324,176,132,16,375,222,153,162,60,6,11,85,32.2,32.3,10.5,12.1,311566.88545201515,185662.7045601383
