area_code,area_name,census_geography,long_term_health_all,limited_lots,limited_little,limited_none,limited_lots_perc,limited_little_perc,limited_none_perc,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,126336,12538,13091,100707,9.9,10.4,79.7,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,346090,31838,30493,283759,9.2,8.8,82.0,316407.00000592414,174926.57615038028
W06000022,Newport,la,145736,15515,14801,115420,10.6,10.2,79.2,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,234410,33912,26677,173821,14.5,11.4,74.2,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,178806,25009,20356,133441,14.0,11.4,74.6,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,8228,803,653,6772,9.8,7.9,82.3,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,5947,458,579,4910,7.7,9.7,82.6,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,8357,847,792,6718,10.1,9.5,80.4,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,7384,610,717,6057,8.3,9.7,82.0,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,8714,842,926,6946,9.7,10.6,79.7,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,6531,471,527,5533,7.2,8.1,84.7,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,5455,548,576,4331,10.0,10.6,79.4,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,7748,748,835,6165,9.7,10.8,79.6,315542.1435410684,180054.16599766392
W02000387,Cardiff 021,msoa,5962,506,586,4870,8.5,9.8,81.7,316534.8233989328,179882.69938471977
W02000384,Cardiff 018,msoa,5753,419,501,4833,7.3,8.7,84.0,317550.9609321383,179967.79436724854
W02000385,Cardiff 019,msoa,6818,478,610,5730,7.0,8.9,84.0,318931.73089975474,179967.89790040077
W02000383,Cardiff 017,msoa,7219,764,740,5715,10.6,10.3,79.2,320028.80355946417,180077.89351950734
W02000367,Cardiff 001,msoa,6068,409,527,5132,6.7,8.7,84.6,318112.1535024042,183540.9266083678
W02000370,Cardiff 004,msoa,6509,665,766,5078,10.2,11.8,78.0,315466.19002279395,182819.66194350368
W02000382,Cardiff 016,msoa,5738,935,685,4118,16.3,11.9,71.8,322749.2920302189,180021.5445260411
W02000379,Cardiff 013,msoa,6270,811,622,4837,12.9,9.9,77.1,323625.40885052015,180923.73970999802
W02000239,The Vale of Glamorgan 003,msoa,6679,469,615,5595,7.0,9.2,83.8,307395.09128592815,172945.20075659265
W02000277,Rhondda Cynon Taf 026,msoa,7000,977,779,5244,14.0,11.1,74.9,311566.88545201515,185662.7045601383
W02000404,Cardiff 038,msoa,6048,761,601,4686,12.6,9.9,77.5,320137.30289849057,176413.19151841872
W02000403,Cardiff 037,msoa,7213,790,649,5774,11.0,9.0,80.0,321271.4848485954,176861.40012527682
W02000388,Cardiff 022,msoa,5888,727,633,4528,12.3,10.8,76.9,321965.14948186494,178662.45996821942
W02000375,Cardiff 009,msoa,7062,640,620,5802,9.1,8.8,82.2,320579.61476656364,180624.39380982492
W02000381,Cardiff 015,msoa,6271,897,692,4682,14.3,11.0,74.7,321687.65765538416,180215.05874170273
W02000410,Cardiff 044,msoa,8423,786,705,6932,9.3,8.4,82.3,317772.248829523,175402.7775575231
W02000408,Cardiff 042,msoa,7240,800,643,5797,11.0,8.9,80.1,317299.1560895332,176286.47525633706
W02000398,Cardiff 032,msoa,11199,339,391,10469,3.0,3.5,93.5,317959.0454378823,176979.98436992243
W02000394,Cardiff 028,msoa,8922,356,427,8139,4.0,4.8,91.2,317951.72353768157,178375.20505895797
W02000373,Cardiff 007,msoa,6541,827,654,5060,12.6,10.0,77.4,322588.40423120663,181375.121819115
W02000376,Cardiff 010,msoa,6780,715,706,5359,10.5,10.4,79.0,313880.2201269126,182058.28384689707
W02000368,Cardiff 002,msoa,5946,353,417,5176,5.9,7.0,87.1,317055.78963273147,182947.95795937997
W02000369,Cardiff 003,msoa,7968,381,425,7162,4.8,5.3,89.9,321946.49976866436,183085.80415493637
W02000399,Cardiff 033,msoa,10087,795,720,8572,7.9,7.1,85.0,319276.1774547001,177295.50443569018
W02000402,Cardiff 036,msoa,10371,1012,834,8525,9.8,8.0,82.2,319762.9575245634,176950.699963194
W02000396,Cardiff 030,msoa,8079,386,457,7236,4.8,5.7,89.6,318867.44077411183,178257.26712803706
W02000395,Cardiff 029,msoa,6322,457,554,5311,7.2,8.8,84.0,320227.0097875482,178355.99962600775
W02000390,Cardiff 024,msoa,6335,550,631,5154,8.7,10.0,81.4,319795.8285386419,178955.58785246368
W02000374,Cardiff 008,msoa,5683,419,548,4716,7.4,9.6,83.0,319229.36908083636,181349.99125136307
W02000412,Cardiff 046,msoa,6816,767,690,5359,11.3,10.1,78.6,317410.07679263654,174997.84924464396
W02000422,Cardiff 048,msoa,6043,128,269,5646,2.1,4.5,93.4,319494.12760848907,170171.27437436898
W02000391,Cardiff 025,msoa,8790,371,485,7934,4.2,5.5,90.3,317053.523163438,178608.11445396586
W02000371,Cardiff 005,msoa,9110,1085,907,7118,11.9,10.0,78.1,317748.78187170904,181776.48083822106
W02000392,Cardiff 026,msoa,8997,624,863,7510,6.9,9.6,83.5,314848.42851463234,178393.50785419712
W02000393,Cardiff 027,msoa,6342,783,705,4854,12.3,11.1,76.5,313524.564148278,178341.46818095483
W02000397,Cardiff 031,msoa,6639,929,730,4980,14.0,11.0,75.0,313843.8804615948,177536.20537766753
W02000405,Cardiff 039,msoa,7507,1072,825,5610,14.3,11.0,74.7,313246.7454842016,176588.02629035947
W02000407,Cardiff 041,msoa,6406,939,728,4739,14.7,11.4,74.0,314486.2806574489,176231.06466606655
W02000242,The Vale of Glamorgan 006,msoa,7799,722,916,6161,9.3,11.7,79.0,314669.93862747983,172267.6511891968
W02000389,Cardiff 023,msoa,8344,1074,819,6451,12.9,9.8,77.3,315420.8362349494,179063.82508542857
W02000372,Cardiff 006,msoa,7613,449,554,6610,5.9,7.3,86.8,312376.4501658448,181867.14267800216
W02000380,Cardiff 014,msoa,7108,502,551,6055,7.1,7.8,85.2,310168.7783747446,180058.52360947695
W02000409,Cardiff 043,msoa,5886,702,645,4539,11.9,11.0,77.1,312298.2939946976,175499.46115497436
W02000411,Cardiff 045,msoa,6454,874,692,4888,13.5,10.7,75.7,312929.362842845,175344.27200916177
W02000366,Newport 020,msoa,8167,470,590,7107,5.8,7.2,87.0,326833.09589914547,184132.50562584517
W02000377,Cardiff 011,msoa,7125,624,583,5918,8.8,8.2,83.1,324086.03961420053,179997.14018928944
W01001945,Cardiff 048D,lsoa,1303,28,45,1230,2.1,3.5,94.4,317985.240791411,173170.06166257316
W01001762,Cardiff 046D,lsoa,1745,220,198,1327,12.6,11.3,76.0,317847.6588320238,174330.72231915547
W01001761,Cardiff 046C,lsoa,1790,218,182,1390,12.2,10.2,77.7,317770.376610388,174807.87490715488
W01001760,Cardiff 046B,lsoa,1693,193,160,1340,11.4,9.5,79.1,318271.7779509862,174597.32094699456
W01001768,Cardiff 044E,lsoa,1691,139,154,1398,8.2,9.1,82.7,317795.73532268766,175114.46946316413
W01001765,Cardiff 044B,lsoa,1418,159,126,1133,11.2,8.9,79.9,318034.9700517446,175236.83380225793
W01001944,Cardiff 048C,lsoa,1027,17,41,969,1.7,4.0,94.4,319172.73353598046,175360.28469841514
W01001941,Cardiff 032G,lsoa,1099,24,43,1032,2.2,3.9,93.9,318370.0264991199,176122.04859170687
W01001922,Cardiff 032E,lsoa,1976,36,65,1875,1.8,3.3,94.9,318441.67343972024,177174.89746943806
W01001835,Cardiff 033F,lsoa,1622,261,216,1145,16.1,13.3,70.6,319163.1064928849,176989.70806852786
W01001722,Cardiff 028D,lsoa,1571,53,75,1443,3.4,4.8,91.9,317994.5730386287,177950.67752156605
W01001832,Cardiff 033C,lsoa,1787,53,68,1666,3.0,3.8,93.2,318822.75299932214,177364.13178028178
W01001829,Cardiff 033A,lsoa,1807,88,88,1631,4.9,4.9,90.3,318952.3067351652,177576.1399080316
W01001720,Cardiff 028C,lsoa,1892,55,80,1757,2.9,4.2,92.9,318311.6762975676,177957.33048299738
W01001718,Cardiff 028A,lsoa,1680,64,73,1543,3.8,4.3,91.8,318292.06895463704,178205.4464774337
W01001726,Cardiff 028E,lsoa,1715,96,87,1532,5.6,5.1,89.3,317987.79620204493,178643.3277225744
W01001732,Cardiff 019A,lsoa,1591,105,159,1327,6.6,10.0,83.4,318582.2438484572,180596.2325995843
W01001863,Cardiff 022A,lsoa,1564,191,168,1205,12.2,10.7,77.0,322043.57605008455,178872.9684212532
W01001864,Cardiff 022B,lsoa,1505,175,170,1160,11.6,11.3,77.1,321492.14911038417,179362.10779155957
W01001816,Cardiff 009B,lsoa,2625,248,226,2151,9.4,8.6,81.9,320919.38247148704,181428.06049558803
W01001951,Cardiff 049E,lsoa,1016,42,50,924,4.1,4.9,90.9,319130.1531423386,175914.43031953776
W01001952,Cardiff 049F,lsoa,1238,121,89,1028,9.8,7.2,83.0,318418.24622610374,175452.54005560747
W01001711,Cardiff 040C,lsoa,1632,235,199,1198,14.4,12.2,73.4,316203.69648416643,175555.5168494717
W01001716,Cardiff 035C,lsoa,1274,95,119,1060,7.5,9.3,83.2,314968.5154869864,177004.39911161043
W01001709,Cardiff 040A,lsoa,1898,178,161,1559,9.4,8.5,82.1,315587.4100512841,176385.62841007166
W01001714,Cardiff 035A,lsoa,1522,104,157,1261,6.8,10.3,82.9,315450.4520412459,176941.41832862524
W01001782,Cardiff 026D,lsoa,1437,92,148,1197,6.4,10.3,83.3,315011.87099834334,177563.36343797957
W01001781,Cardiff 026C,lsoa,1736,139,178,1419,8.0,10.3,81.7,315697.5290266145,177869.63622136708
W01001786,Cardiff 023B,lsoa,1555,167,164,1224,10.7,10.5,78.7,315211.3505782571,178771.97737299945
W01001785,Cardiff 023A,lsoa,1183,191,112,880,16.1,9.5,74.4,315711.8426125762,179035.13922929703
W01001889,Cardiff 020B,lsoa,1546,211,177,1158,13.6,11.4,74.9,315846.33175113495,180024.07937946572
W01001852,Cardiff 004B,lsoa,1817,128,166,1523,7.0,9.1,83.8,315557.37112023454,183003.6531699536
W01001104,The Vale of Glamorgan 004E,lsoa,1977,193,203,1581,9.8,10.3,80.0,316707.5554207408,173032.5119750009
W01001710,Cardiff 040B,lsoa,1597,139,167,1291,8.7,10.5,80.8,316102.42249586864,176511.7835085576
W01001717,Cardiff 035D,lsoa,1580,155,161,1264,9.8,10.2,80.0,315852.5780742257,176971.18944461693
W01001712,Cardiff 040D,lsoa,1506,158,129,1219,10.5,8.6,80.9,316361.20647613064,176748.51056765593
W01001715,Cardiff 035B,lsoa,1571,104,142,1325,6.6,9.0,84.3,316012.94367676566,177112.17626137784
W01001858,Cardiff 034A,lsoa,1694,123,160,1411,7.3,9.4,83.3,316582.9060015113,177629.86517420766
W01001788,Cardiff 023D,lsoa,1431,229,139,1063,16.0,9.7,74.3,316065.8039755076,178574.56730447107
W01001787,Cardiff 023C,lsoa,1461,189,145,1127,12.9,9.9,77.1,316404.2883713633,178983.53799257995
W01001658,Newport 020D,lsoa,1885,173,152,1560,9.2,8.1,82.8,326533.4556828396,182260.35567539692
W01001808,Cardiff 007C,lsoa,1634,209,144,1281,12.8,8.8,78.4,321972.16743152123,181453.1882794492
W01001241,Rhondda Cynon Taf 026D,lsoa,1727,167,164,1396,9.7,9.5,80.8,312724.9213323827,183568.6413201884
W01001798,Cardiff 002D,lsoa,1481,119,135,1227,8.0,9.1,82.8,316732.80973315146,182576.8974918238
W01001851,Cardiff 012D,lsoa,1482,159,159,1164,10.7,10.7,78.5,315557.6746175932,181025.6780495372
W01001854,Cardiff 004D,lsoa,1572,226,213,1133,14.4,13.5,72.1,316109.80670907727,181807.84630464492
W01001887,Cardiff 020A,lsoa,1573,95,123,1355,6.0,7.8,86.1,314977.8282943473,180017.57332257813
W01001888,Cardiff 010A,lsoa,1686,112,159,1415,6.6,9.4,83.9,314135.600253507,180195.4149934938
W01001890,Cardiff 021D,lsoa,1610,134,149,1327,8.3,9.3,82.4,316483.66176333436,179638.56904295104
W01001891,Cardiff 020C,lsoa,1659,203,204,1252,12.2,12.3,75.5,315410.9817886886,179715.59161292328
W01001892,Cardiff 020D,lsoa,1437,141,161,1135,9.8,11.2,79.0,316107.24095778906,179415.75095764425
W01001893,Cardiff 010B,lsoa,1871,155,152,1564,8.3,8.1,83.6,313783.2225323797,182961.56831210348
W01001948,Cardiff 006E,lsoa,1618,44,69,1505,2.7,4.3,93.0,312756.6307454484,180156.8968415484
W01001953,Cardiff 005G,lsoa,1499,205,128,1166,13.7,8.5,77.8,316858.6410710665,181727.40124843208
W01001773,Cardiff 012A,lsoa,2524,169,202,2153,6.7,8.0,85.3,316652.56745037227,180444.1868416113
W01001776,Cardiff 021C,lsoa,1347,86,121,1140,6.4,9.0,84.6,317117.4798952975,179486.9645164268
W01001949,Cardiff 005F,lsoa,1281,102,86,1093,8.0,6.7,85.3,316895.9772853537,181213.63481104947
W01001770,Cardiff 018B,lsoa,1107,116,113,878,10.5,10.2,79.3,317842.7818681769,179648.87513925027
W01001772,Cardiff 021A,lsoa,1413,152,166,1095,10.8,11.7,77.5,316152.2808048271,180194.86721146267
W01001789,Cardiff 023E,lsoa,1527,146,130,1251,9.6,8.5,81.9,314522.84070591454,179376.87057134602
W01001792,Cardiff 005B,lsoa,1701,237,171,1293,13.9,10.1,76.0,317586.08927225583,181060.5024423225
W01001794,Cardiff 001C,lsoa,1420,78,85,1257,5.5,6.0,88.5,317712.5339723969,183125.13116749187
W01001795,Cardiff 002B,lsoa,1547,61,83,1403,3.9,5.4,90.7,316892.93875464424,183112.1987646707
W01001796,Cardiff 002C,lsoa,1491,106,128,1257,7.1,8.6,84.3,317209.97601355927,182840.9703306879
W01001797,Cardiff 005C,lsoa,1439,124,166,1149,8.6,11.5,79.8,317582.2117757669,182370.85211540625
W01001809,Cardiff 017A,lsoa,1309,124,145,1040,9.5,11.1,79.4,319681.907778889,180326.85262021105
W01001810,Cardiff 017B,lsoa,1678,183,141,1354,10.9,8.4,80.7,320191.3922935975,180489.89836612207
W01001813,Cardiff 017D,lsoa,1519,195,183,1141,12.8,12.0,75.1,320072.321371389,180013.54439909806
W01001814,Cardiff 017E,lsoa,1421,129,150,1142,9.1,10.6,80.4,320046.6103454035,179549.89615646677
W01001815,Cardiff 008D,lsoa,1353,99,129,1125,7.3,9.5,83.1,320011.4578494053,181584.97682839242
W01001819,Cardiff 014D,lsoa,2287,162,185,1940,7.1,8.1,84.8,309961.1694630933,182346.64748400394
W01001820,Cardiff 006A,lsoa,1196,73,93,1030,6.1,7.8,86.1,311693.2517174133,183218.34034321114
W01001896,Cardiff 020E,lsoa,1533,98,170,1265,6.4,11.1,82.5,315249.6479761583,180480.3603847506
W01001840,Cardiff 007D,lsoa,1752,151,179,1422,8.6,10.2,81.2,323119.8482272534,181509.22298488198
W01001802,Cardiff 007A,lsoa,1588,246,185,1157,15.5,11.6,72.9,322574.5956320743,181168.9613219585
W01001879,Cardiff 013A,lsoa,1904,288,171,1445,15.1,9.0,75.9,323637.80557883694,180858.03620307395
W01001880,Cardiff 013B,lsoa,1554,159,148,1247,10.2,9.5,80.2,324169.1784868598,180957.53225814574
W01001113,The Vale of Glamorgan 003A,lsoa,2289,134,196,1959,5.9,8.6,85.6,306236.8773483947,177117.80209097796
W01001135,The Vale of Glamorgan 003C,lsoa,1494,120,145,1229,8.0,9.7,82.3,309437.28714040015,172288.8320071897
W01001240,Rhondda Cynon Taf 026C,lsoa,1945,263,179,1503,13.5,9.2,77.3,312664.80712559214,184979.70168993747
W01001872,Cardiff 038B,lsoa,1525,179,156,1190,11.7,10.2,78.0,320101.256454791,176637.50851963987
W01001874,Cardiff 038D,lsoa,1429,201,146,1082,14.1,10.2,75.7,320137.30289849115,175822.17738833692
W01001694,Cardiff 036A,lsoa,1961,201,166,1594,10.2,8.5,81.3,319770.33786633017,176939.30945680017
W01001870,Cardiff 037A,lsoa,1377,125,138,1114,9.1,10.0,80.9,320570.6143402268,176863.15638893892
W01001698,Cardiff 036E,lsoa,1968,174,154,1640,8.8,7.8,83.3,319933.1675215942,177301.0443730184
W01001871,Cardiff 037B,lsoa,1594,240,159,1195,15.1,10.0,75.0,321103.75706321304,176870.4021991125
W01001869,Cardiff 038A,lsoa,1395,203,117,1075,14.6,8.4,77.1,320390.2191841855,177262.7097622887
W01001697,Cardiff 036D,lsoa,1646,186,146,1314,11.3,8.9,79.8,320347.99810449546,177368.79813788252
W01001825,Cardiff 029D,lsoa,1775,137,178,1460,7.7,10.0,82.3,320471.2572158646,178077.523180278
W01001875,Cardiff 037C,lsoa,2695,191,193,2311,7.1,7.2,85.8,321300.4592102816,176861.40127526995
W01001828,Cardiff 024D,lsoa,1535,153,172,1210,10.0,11.2,78.8,320299.15894635057,178900.51173020474
W01001868,Cardiff 022D,lsoa,1498,211,169,1118,14.1,11.3,74.6,322010.5197306038,179549.00423104814
W01001883,Cardiff 016C,lsoa,1600,245,188,1167,15.3,11.8,72.9,323115.9145795123,180503.62492457664
W01001884,Cardiff 013D,lsoa,1374,150,120,1104,10.9,8.7,80.3,323797.3879479243,180700.30339931662
W01001841,Cardiff 003A,lsoa,2025,127,111,1787,6.3,5.5,88.2,320329.08775458595,182754.37346167152
W01001882,Cardiff 011C,lsoa,1824,126,125,1573,6.9,6.9,86.2,324870.43581255013,180976.1092935418
W01001843,Cardiff 003C,lsoa,2167,83,104,1980,3.8,4.8,91.4,322733.18905566714,182591.84120133283
W01001842,Cardiff 003B,lsoa,1748,50,85,1613,2.9,4.9,92.3,321240.7082033047,183433.37667911957
W01001803,Cardiff 015A,lsoa,1573,300,167,1106,19.1,10.6,70.3,322211.1570869292,180247.56574680016
W01001805,Cardiff 015C,lsoa,1490,177,176,1137,11.9,11.8,76.3,321596.4101043559,180453.91432741637
