area_code,area_name,census_geography,all_qualifications,no_qualifications,level1,level2,level3,level4,apprenticeship,other,no_qualifications_perc,level1_perc,level2_perc,level3_perc,level4_perc,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,102504,20964,13210,17287,12179,30527,4287,4050,20.5,12.9,16.9,11.9,29.8,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,283115,58688,31039,36812,43037,91522,7882,14135,20.7,11.0,13.0,15.2,32.3,316407.00000592414,174926.57615038028
W06000022,Newport,la,116348,31454,16399,17834,13203,27202,4685,5571,27.0,14.1,15.3,11.3,23.4,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,190116,60403,26718,29749,21714,37168,6711,7653,31.8,14.1,15.6,11.4,19.6,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,143825,45102,21459,23361,16154,26843,5595,5311,31.4,14.9,16.2,11.2,18.7,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,6971,1523,603,710,702,2877,101,455,21.8,8.7,10.2,10.1,41.3,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,4912,869,441,572,448,2244,157,181,17.7,9.0,11.6,9.1,45.7,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,6806,1633,783,810,591,2461,206,322,24.0,11.5,11.9,8.7,36.2,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,5948,954,563,867,587,2561,212,204,16.0,9.5,14.6,9.9,43.1,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,7071,1543,824,1188,868,2029,347,272,21.8,11.7,16.8,12.3,28.7,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,5644,706,311,483,522,3320,88,214,12.5,5.5,8.6,9.2,58.8,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,4241,1011,563,701,453,1225,156,132,23.8,13.3,16.5,10.7,28.9,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,6396,1104,590,910,693,2587,292,220,17.3,9.2,14.2,10.8,40.4,315542.1435410684,180054.16599766392
W02000387,Cardiff 021,msoa,4978,849,529,725,689,1782,199,205,17.1,10.6,14.6,13.8,35.8,316534.8233989328,179882.69938471977
W02000384,Cardiff 018,msoa,4713,608,416,630,505,2220,171,163,12.9,8.8,13.4,10.7,47.1,317550.9609321383,179967.79436724854
W02000385,Cardiff 019,msoa,5689,581,388,776,952,2606,93,293,10.2,6.8,13.6,16.7,45.8,318931.73089975474,179967.89790040077
W02000383,Cardiff 017,msoa,5605,1657,1004,928,564,950,224,278,29.6,17.9,16.6,10.1,16.9,320028.80355946417,180077.89351950734
W02000367,Cardiff 001,msoa,4973,519,438,782,546,2427,124,137,10.4,8.8,15.7,11.0,48.8,318112.1535024042,183540.9266083678
W02000370,Cardiff 004,msoa,5522,973,570,901,542,2101,234,201,17.6,10.3,16.3,9.8,38.0,315466.19002279395,182819.66194350368
W02000382,Cardiff 016,msoa,4419,1824,734,611,409,474,168,199,41.3,16.6,13.8,9.3,10.7,322749.2920302189,180021.5445260411
W02000379,Cardiff 013,msoa,4442,1603,787,677,385,667,106,217,36.1,17.7,15.2,8.7,15.0,323625.40885052015,180923.73970999802
W02000239,The Vale of Glamorgan 003,msoa,5426,837,513,850,595,2291,168,172,15.4,9.5,15.7,11.0,42.2,307395.09128592815,172945.20075659265
W02000277,Rhondda Cynon Taf 026,msoa,5847,1752,816,875,630,1295,241,238,30.0,14.0,15.0,10.8,22.1,311566.88545201515,185662.7045601383
