area_code,area_name,census_geography,all_households,owned,own_outright,own_mortgage,shared_own,rent_social,rent_council,rent_other,private_rent,private_landlord,private_other,rent_free,owned_perc,rent_social_perc,private_rent_perc,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,53505,38647,18954,19693,125,6354,4025,2329,7813,6780,1033,566,72.2,11.9,14.6,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,142557,84262,37788,46474,639,24374,13547,10827,31220,28972,2248,2062,59.1,17.1,21.9,316407.00000592414,174926.57615038028
W06000022,Newport,la,61172,39272,18229,21043,325,12122,5981,6141,8572,7870,702,881,64.2,19.8,14.0,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,99663,70760,36338,34422,150,13673,6836,6837,13604,12334,1270,1476,71.0,13.7,13.7,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,74479,51632,24188,27444,216,13962,10464,3498,7995,7178,817,674,69.3,18.7,10.7,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,4132,1258,391,867,30,1113,752,361,1633,1558,75,98,30.4,26.9,39.5,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,2688,1931,858,1073,4,246,32,214,469,440,29,38,71.8,9.2,17.4,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,3566,2304,998,1306,11,419,157,262,779,718,61,53,64.6,11.7,21.8,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,3096,2560,1338,1222,8,107,43,64,394,362,32,27,82.7,3.5,12.7,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,3628,2758,1347,1411,8,459,271,188,370,296,74,33,76.0,12.7,10.2,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,3147,1598,687,911,8,234,35,199,1269,1229,40,38,50.8,7.4,40.3,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,2215,1522,710,812,6,504,493,11,162,142,20,21,68.7,22.8,7.3,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,3349,2752,1543,1209,8,215,136,79,329,302,27,45,82.2,6.4,9.8,315542.1435410684,180054.16599766392
W02000387,Cardiff 021,msoa,2419,1995,1054,941,6,55,30,25,342,311,31,21,82.5,2.3,14.1,316534.8233989328,179882.69938471977
W02000384,Cardiff 018,msoa,2322,1965,1017,948,15,94,40,54,231,204,27,17,84.6,4.0,9.9,317550.9609321383,179967.79436724854
W02000385,Cardiff 019,msoa,2453,2040,1140,900,6,62,8,54,329,310,19,16,83.2,2.5,13.4,318931.73089975474,179967.89790040077
W02000383,Cardiff 017,msoa,3027,1887,750,1137,16,755,633,122,342,310,32,27,62.3,24.9,11.3,320028.80355946417,180077.89351950734
W02000367,Cardiff 001,msoa,2456,2153,1156,997,17,21,12,9,231,211,20,34,87.7,0.9,9.4,318112.1535024042,183540.9266083678
W02000370,Cardiff 004,msoa,2957,2704,1707,997,6,16,7,9,209,189,20,22,91.4,0.5,7.1,315466.19002279395,182819.66194350368
W02000382,Cardiff 016,msoa,2342,1142,504,638,9,944,624,320,189,163,26,58,48.8,40.3,8.1,322749.2920302189,180021.5445260411
W02000379,Cardiff 013,msoa,2562,789,250,539,21,1486,483,1003,228,203,25,38,30.8,58.0,8.9,323625.40885052015,180923.73970999802
W02000239,The Vale of Glamorgan 003,msoa,2688,2338,1278,1060,1,79,71,8,224,191,33,46,87.0,2.9,8.3,307395.09128592815,172945.20075659265
W02000277,Rhondda Cynon Taf 026,msoa,3098,2124,950,1174,16,602,293,309,307,272,35,49,68.6,19.4,9.9,311566.88545201515,185662.7045601383
W02000404,Cardiff 038,msoa,2786,1256,486,770,5,902,78,824,561,506,55,62,45.1,32.4,20.1,320137.30289849057,176413.19151841872
W02000403,Cardiff 037,msoa,3077,1540,477,1063,5,981,652,329,487,434,53,64,50.0,31.9,15.8,321271.4848485954,176861.40012527682
W02000388,Cardiff 022,msoa,2384,1845,896,949,1,299,175,124,222,192,30,17,77.4,12.5,9.3,321965.14948186494,178662.45996821942
W02000375,Cardiff 009,msoa,2783,1634,488,1146,19,725,468,257,380,340,40,25,58.7,26.1,13.7,320579.61476656364,180624.39380982492
W02000381,Cardiff 015,msoa,2799,1737,825,912,8,725,635,90,272,232,40,57,62.1,25.9,9.7,321687.65765538416,180215.05874170273
W02000410,Cardiff 044,msoa,3039,1594,694,900,9,486,143,343,881,816,65,69,52.5,16.0,29.0,317772.248829523,175402.7775575231
W02000408,Cardiff 042,msoa,3011,1050,492,558,15,795,277,518,1081,1025,56,70,34.9,26.4,35.9,317299.1560895332,176286.47525633706
W02000398,Cardiff 032,msoa,3453,577,320,257,19,241,81,160,2544,2361,183,72,16.7,7.0,73.7,317959.0454378823,176979.98436992243
W02000394,Cardiff 028,msoa,2739,890,460,430,16,81,15,66,1717,1617,100,35,32.5,3.0,62.7,317951.72353768157,178375.20505895797
W02000373,Cardiff 007,msoa,2668,1466,615,851,2,896,705,191,244,225,19,60,54.9,33.6,9.1,322588.40423120663,181375.121819115
W02000376,Cardiff 010,msoa,2989,2057,969,1088,9,639,381,258,256,230,26,28,68.8,21.4,8.6,313880.2201269126,182058.28384689707
W02000368,Cardiff 002,msoa,2488,1976,783,1193,51,90,18,72,353,331,22,18,79.4,3.6,14.2,317055.78963273147,182947.95795937997
W02000369,Cardiff 003,msoa,3115,2328,599,1729,35,195,5,190,534,501,33,23,74.7,6.3,17.1,321946.49976866436,183085.80415493637
W02000399,Cardiff 033,msoa,4602,1239,577,662,17,638,97,541,2656,2520,136,52,26.9,13.9,57.7,319276.1774547001,177295.50443569018
W02000402,Cardiff 036,msoa,4064,1318,488,830,19,1088,200,888,1551,1464,87,88,32.4,26.8,38.2,319762.9575245634,176950.699963194
W02000396,Cardiff 030,msoa,2963,1229,552,677,18,160,77,83,1515,1428,87,41,41.5,5.4,51.1,318867.44077411183,178257.26712803706
W02000395,Cardiff 029,msoa,2727,1733,750,983,3,242,8,234,724,685,39,25,63.5,8.9,26.5,320227.0097875482,178355.99962600775
W02000390,Cardiff 024,msoa,2365,2007,1176,831,9,102,9,93,228,209,19,19,84.9,4.3,9.6,319795.8285386419,178955.58785246368
W02000374,Cardiff 008,msoa,2293,2044,1135,909,5,41,12,29,176,160,16,27,89.1,1.8,7.7,319229.36908083636,181349.99125136307
W02000412,Cardiff 046,msoa,2804,1517,613,904,11,560,233,327,646,604,42,70,54.1,20.0,23.0,317410.07679263654,174997.84924464396
W02000422,Cardiff 048,msoa,3654,1172,282,890,54,214,21,193,2185,2086,99,29,32.1,5.9,59.8,319494.12760848907,170171.27437436898
W02000391,Cardiff 025,msoa,2426,1179,516,663,18,251,158,93,928,812,116,50,48.6,10.3,38.3,317053.523163438,178608.11445396586
W02000371,Cardiff 005,msoa,3989,2573,1126,1447,33,820,578,242,497,449,48,66,64.5,20.6,12.5,317748.78187170904,181776.48083822106
W02000392,Cardiff 026,msoa,3794,3047,1551,1496,9,142,13,129,539,499,40,57,80.3,3.7,14.2,314848.42851463234,178393.50785419712
W02000393,Cardiff 027,msoa,2963,1791,739,1052,14,744,654,90,366,322,44,48,60.4,25.1,12.4,313524.564148278,178341.46818095483
W02000397,Cardiff 031,msoa,2985,1876,888,988,8,733,438,295,309,274,35,59,62.8,24.6,10.4,313843.8804615948,177536.20537766753
W02000405,Cardiff 039,msoa,2996,1012,384,628,4,1682,1596,86,248,228,20,50,33.8,56.1,8.3,313246.7454842016,176588.02629035947
W02000407,Cardiff 041,msoa,2637,1278,527,751,9,1036,712,324,267,235,32,47,48.5,39.3,10.1,314486.2806574489,176231.06466606655
W02000242,The Vale of Glamorgan 006,msoa,3333,2718,1531,1187,7,348,173,175,233,195,38,27,81.5,10.4,7.0,314669.93862747983,172267.6511891968
W02000389,Cardiff 023,msoa,3504,2112,895,1217,9,899,635,264,438,400,38,46,60.3,25.7,12.5,315420.8362349494,179063.82508542857
W02000372,Cardiff 006,msoa,3060,2603,1206,1397,4,157,56,101,269,246,23,27,85.1,5.1,8.8,312376.4501658448,181867.14267800216
W02000380,Cardiff 014,msoa,2764,2407,1083,1324,2,102,86,16,224,198,26,29,87.1,3.7,8.1,310168.7783747446,180058.52360947695
W02000409,Cardiff 043,msoa,2541,1521,674,847,6,779,652,127,188,156,32,47,59.9,30.7,7.4,312298.2939946976,175499.46115497436
W02000411,Cardiff 045,msoa,2703,1437,545,892,7,892,519,373,331,288,43,36,53.2,33.0,12.2,312929.362842845,175344.27200916177
W02000366,Newport 020,msoa,3193,2621,946,1675,22,131,52,79,388,353,35,31,82.1,4.1,12.2,326833.09589914547,184132.50562584517
W02000377,Cardiff 011,msoa,2876,2139,584,1555,21,270,168,102,429,389,40,17,74.4,9.4,14.9,324086.03961420053,179997.14018928944
W01001945,Cardiff 048D,lsoa,838,223,54,169,12,9,4,5,588,565,23,6,26.6,1.1,70.2,317985.240791411,173170.06166257316
W01001762,Cardiff 046D,lsoa,736,256,93,163,4,247,124,123,197,185,12,32,34.8,33.6,26.8,317847.6588320238,174330.72231915547
W01001761,Cardiff 046C,lsoa,724,323,138,185,1,160,45,115,218,206,12,22,44.6,22.1,30.1,317770.376610388,174807.87490715488
W01001760,Cardiff 046B,lsoa,670,438,201,237,1,109,53,56,111,104,7,11,65.4,16.3,16.6,318271.7779509862,174597.32094699456
W01001768,Cardiff 044E,lsoa,539,267,118,149,1,60,15,45,191,177,14,20,49.5,11.1,35.4,317795.73532268766,175114.46946316413
W01001765,Cardiff 044B,lsoa,521,298,145,153,3,71,6,65,140,128,12,9,57.2,13.6,26.9,318034.9700517446,175236.83380225793
W01001944,Cardiff 048C,lsoa,580,207,39,168,1,23,1,22,346,328,18,3,35.7,4.0,59.7,319172.73353598046,175360.28469841514
W01001941,Cardiff 032G,lsoa,670,138,59,79,5,16,1,15,483,460,23,28,20.6,2.4,72.1,318370.0264991199,176122.04859170687
W01001922,Cardiff 032E,lsoa,424,39,33,6,5,39,10,29,336,311,25,5,9.2,9.2,79.2,318441.67343972024,177174.89746943806
W01001835,Cardiff 033F,lsoa,908,212,110,102,3,288,23,265,394,372,22,11,23.3,31.7,43.4,319163.1064928849,176989.70806852786
W01001722,Cardiff 028D,lsoa,514,131,75,56,3,18,4,14,354,341,13,8,25.5,3.5,68.9,317994.5730386287,177950.67752156605
W01001832,Cardiff 033C,lsoa,741,67,35,32,4,52,7,45,611,594,17,7,9.0,7.0,82.5,318822.75299932214,177364.13178028178
W01001829,Cardiff 033A,lsoa,663,188,90,98,2,54,8,46,413,378,35,6,28.4,8.1,62.3,318952.3067351652,177576.1399080316
W01001720,Cardiff 028C,lsoa,590,128,71,57,3,17,4,13,436,420,16,6,21.7,2.9,73.9,318311.6762975676,177957.33048299738
W01001718,Cardiff 028A,lsoa,577,185,81,104,6,12,1,11,366,345,21,8,32.1,2.1,63.4,318292.06895463704,178205.4464774337
W01001726,Cardiff 028E,lsoa,524,168,72,96,1,24,3,21,323,299,24,8,32.1,4.6,61.6,317987.79620204493,178643.3277225744
W01001732,Cardiff 019A,lsoa,667,564,333,231,2,1,0,1,96,90,6,4,84.6,0.1,14.4,318582.2438484572,180596.2325995843
W01001863,Cardiff 022A,lsoa,637,487,222,265,0,66,33,33,79,69,10,5,76.5,10.4,12.4,322043.57605008455,178872.9684212532
W01001864,Cardiff 022B,lsoa,623,548,294,254,0,15,6,9,55,48,7,5,88.0,2.4,8.8,321492.14911038417,179362.10779155957
W01001816,Cardiff 009B,lsoa,1065,583,132,451,13,302,216,86,153,138,15,14,54.7,28.4,14.4,320919.38247148704,181428.06049558803
W01001951,Cardiff 049E,lsoa,548,205,52,153,1,52,12,40,281,262,19,9,37.4,9.5,51.3,319130.1531423386,175914.43031953776
W01001952,Cardiff 049F,lsoa,621,171,45,126,11,77,43,34,348,336,12,14,27.5,12.4,56.0,318418.24622610374,175452.54005560747
W01001711,Cardiff 040C,lsoa,720,419,215,204,1,184,128,56,98,91,7,18,58.2,25.6,13.6,316203.69648416643,175555.5168494717
W01001716,Cardiff 035C,lsoa,543,434,194,240,0,8,5,3,91,88,3,10,79.9,1.5,16.8,314968.5154869864,177004.39911161043
W01001709,Cardiff 040A,lsoa,721,483,184,299,3,86,7,79,139,127,12,10,67.0,11.9,19.3,315587.4100512841,176385.62841007166
W01001714,Cardiff 035A,lsoa,612,538,272,266,0,11,6,5,53,46,7,10,87.9,1.8,8.7,315450.4520412459,176941.41832862524
W01001782,Cardiff 026D,lsoa,591,548,279,269,2,3,2,1,35,33,2,3,92.7,0.5,5.9,315011.87099834334,177563.36343797957
W01001781,Cardiff 026C,lsoa,829,536,305,231,0,71,3,68,192,180,12,30,64.7,8.6,23.2,315697.5290266145,177869.63622136708
W01001786,Cardiff 023B,lsoa,628,467,196,271,2,72,53,19,78,68,10,9,74.4,11.5,12.4,315211.3505782571,178771.97737299945
W01001785,Cardiff 023A,lsoa,482,199,90,109,3,238,120,118,33,26,7,9,41.3,49.4,6.8,315711.8426125762,179035.13922929703
W01001889,Cardiff 020B,lsoa,747,555,321,234,0,80,46,34,103,96,7,9,74.3,10.7,13.8,315846.33175113495,180024.07937946572
W01001852,Cardiff 004B,lsoa,723,677,361,316,2,5,3,2,34,31,3,5,93.6,0.7,4.7,315557.37112023454,183003.6531699536
W01001104,The Vale of Glamorgan 004E,lsoa,864,682,351,331,0,72,10,62,103,84,19,7,78.9,8.3,11.9,316707.5554207408,173032.5119750009
W01001710,Cardiff 040B,lsoa,701,468,214,254,3,31,8,23,189,181,8,10,66.8,4.4,27.0,316102.42249586864,176511.7835085576
W01001717,Cardiff 035D,lsoa,768,472,181,291,3,144,17,127,138,127,11,11,61.5,18.8,18.0,315852.5780742257,176971.18944461693
W01001712,Cardiff 040D,lsoa,679,453,195,258,2,26,6,20,191,176,15,7,66.7,3.8,28.1,316361.20647613064,176748.51056765593
W01001715,Cardiff 035B,lsoa,765,487,211,276,1,83,4,79,187,179,8,7,63.7,10.8,24.4,316012.94367676566,177112.17626137784
W01001858,Cardiff 034A,lsoa,869,381,193,188,5,87,6,81,387,378,9,9,43.8,10.0,44.5,316582.9060015113,177629.86517420766
W01001788,Cardiff 023D,lsoa,608,295,117,178,1,249,227,22,49,44,5,14,48.5,41.0,8.1,316065.8039755076,178574.56730447107
W01001787,Cardiff 023C,lsoa,556,322,128,194,0,173,120,53,58,55,3,3,57.9,31.1,10.4,316404.2883713633,178983.53799257995
W01001658,Newport 020D,lsoa,697,579,220,359,1,65,34,31,46,41,5,6,83.1,9.3,6.6,326533.4556828396,182260.35567539692
W01001808,Cardiff 007C,lsoa,638,238,85,153,1,326,300,26,55,52,3,18,37.3,51.1,8.6,321972.16743152123,181453.1882794492
W01001241,Rhondda Cynon Taf 026D,lsoa,756,512,199,313,6,144,75,69,86,70,16,8,67.7,19.0,11.4,312724.9213323827,183568.6413201884
W01001798,Cardiff 002D,lsoa,624,521,251,270,6,15,9,6,76,74,2,6,83.5,2.4,12.2,316732.80973315146,182576.8974918238
W01001851,Cardiff 012D,lsoa,697,567,327,240,4,50,19,31,71,62,9,5,81.3,7.2,10.2,315557.6746175932,181025.6780495372
W01001854,Cardiff 004D,lsoa,834,755,518,237,1,4,1,3,66,58,8,8,90.5,0.5,7.9,316109.80670907727,181807.84630464492
W01001887,Cardiff 020A,lsoa,613,556,298,258,0,1,1,0,48,44,4,8,90.7,0.2,7.8,314977.8282943473,180017.57332257813
W01001888,Cardiff 010A,lsoa,694,526,209,317,2,86,57,29,73,65,8,7,75.8,12.4,10.5,314135.600253507,180195.4149934938
W01001890,Cardiff 021D,lsoa,608,502,265,237,2,7,1,6,94,92,2,3,82.6,1.2,15.5,316483.66176333436,179638.56904295104
W01001891,Cardiff 020C,lsoa,762,528,284,244,1,118,82,36,99,91,8,16,69.3,15.5,13.0,315410.9817886886,179715.59161292328
W01001892,Cardiff 020D,lsoa,599,565,358,207,1,5,2,3,20,14,6,8,94.3,0.8,3.3,316107.24095778906,179415.75095764425
W01001893,Cardiff 010B,lsoa,793,551,235,316,1,162,70,92,69,63,6,10,69.5,20.4,8.7,313783.2225323797,182961.56831210348
W01001948,Cardiff 006E,lsoa,637,491,138,353,1,31,3,28,110,104,6,4,77.1,4.9,17.3,312756.6307454484,180156.8968415484
W01001953,Cardiff 005G,lsoa,643,400,158,242,10,154,118,36,68,57,11,11,62.2,24.0,10.6,316858.6410710665,181727.40124843208
W01001773,Cardiff 012A,lsoa,991,706,275,431,2,49,19,30,221,209,12,13,71.2,4.9,22.3,316652.56745037227,180444.1868416113
W01001776,Cardiff 021C,lsoa,515,450,235,215,1,2,0,2,59,47,12,3,87.4,0.4,11.5,317117.4798952975,179486.9645164268
W01001949,Cardiff 005F,lsoa,635,319,49,270,13,134,7,127,163,155,8,6,50.2,21.1,25.7,316895.9772853537,181213.63481104947
W01001770,Cardiff 018B,lsoa,476,336,199,137,14,51,27,24,68,59,9,7,70.6,10.7,14.3,317842.7818681769,179648.87513925027
W01001772,Cardiff 021A,lsoa,603,541,310,231,2,8,3,5,47,44,3,5,89.7,1.3,7.8,316152.2808048271,180194.86721146267
W01001789,Cardiff 023E,lsoa,730,522,232,290,0,42,25,17,156,149,7,10,71.5,5.8,21.4,314522.84070591454,179376.87057134602
W01001792,Cardiff 005B,lsoa,705,396,178,218,3,243,224,19,53,46,7,10,56.2,34.5,7.5,317586.08927225583,181060.5024423225
W01001794,Cardiff 001C,lsoa,626,483,191,292,8,4,1,3,125,115,10,6,77.2,0.6,20.0,317712.5339723969,183125.13116749187
W01001795,Cardiff 002B,lsoa,644,516,196,320,19,11,0,11,94,84,10,4,80.1,1.7,14.6,316892.93875464424,183112.1987646707
W01001796,Cardiff 002C,lsoa,653,495,196,299,12,51,8,43,89,83,6,6,75.8,7.8,13.6,317209.97601355927,182840.9703306879
W01001797,Cardiff 005C,lsoa,607,515,247,268,2,29,22,7,48,41,7,13,84.8,4.8,7.9,317582.2117757669,182370.85211540625
W01001809,Cardiff 017A,lsoa,538,412,178,234,1,81,40,41,38,32,6,6,76.6,15.1,7.1,319681.907778889,180326.85262021105
W01001810,Cardiff 017B,lsoa,635,335,104,231,1,224,188,36,67,64,3,8,52.8,35.3,10.6,320191.3922935975,180489.89836612207
W01001813,Cardiff 017D,lsoa,698,312,133,179,11,317,298,19,52,44,8,6,44.7,45.4,7.4,320072.321371389,180013.54439909806
W01001814,Cardiff 017E,lsoa,672,478,196,282,0,64,44,20,128,117,11,2,71.1,9.5,19.0,320046.6103454035,179549.89615646677
W01001815,Cardiff 008D,lsoa,511,432,181,251,4,33,10,23,37,33,4,5,84.5,6.5,7.2,320011.4578494053,181584.97682839242
W01001819,Cardiff 014D,lsoa,912,764,390,374,0,76,73,3,62,48,14,10,83.8,8.3,6.8,309961.1694630933,182346.64748400394
W01001820,Cardiff 006A,lsoa,508,401,176,225,0,73,30,43,27,24,3,7,78.9,14.4,5.3,311693.2517174133,183218.34034321114
W01001896,Cardiff 020E,lsoa,628,548,282,266,6,11,5,6,59,57,2,4,87.3,1.8,9.4,315249.6479761583,180480.3603847506
W01001840,Cardiff 007D,lsoa,755,503,213,290,1,157,49,108,83,77,6,11,66.6,20.8,11.0,323119.8482272534,181509.22298488198
