area_code,area_name,census_geography,all_accommodation,flat_all,flat_commercial,flat_converted,flat_purpose,mobile_home,shared_all,unshared_all,unshared_house,unshared_house_detached,unshared_house_semi,unshared_house_terrace,flat_all_perc,mobile_home_perc,shared_all_perc,unshared_house_perc,whole_detached_perc,whole_semi_perc,whole_terrace_perc,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,53505,7705,482,1332,5891,285,27,53478,45488,14339,16659,14490,14.4,0.5,0.1,85.0,26.8,31.1,27.1,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,142557,36769,1147,7233,28389,79,595,141962,105114,19638,41864,43612,25.8,0.1,0.4,73.7,13.8,29.4,30.6,316407.00000592414,174926.57615038028
W06000022,Newport,la,61172,10111,427,1468,8216,153,186,60986,50722,11557,18900,20265,16.5,0.3,0.3,82.9,18.9,30.9,33.1,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,99663,7932,616,804,6512,135,49,99614,91547,14963,27262,49322,8.0,0.1,0.0,91.9,15.0,27.4,49.5,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,74479,6157,530,528,5099,26,30,74449,68266,12130,29610,26526,8.3,0.0,0.0,91.7,16.3,39.8,35.6,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,4132,2973,24,62,2887,0,11,4121,1148,81,317,750,72.0,0.0,0.3,27.8,2.0,7.7,18.2,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,2688,506,14,163,329,2,13,2675,2167,167,583,1417,18.8,0.1,0.5,80.6,6.2,21.7,52.7,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,3566,694,44,280,370,0,11,3555,2861,138,684,2039,19.5,0.0,0.3,80.2,3.9,19.2,57.2,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,3096,389,25,18,346,0,0,3096,2707,565,1572,570,12.6,0.0,0.0,87.4,18.2,50.8,18.4,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,3628,482,13,49,420,0,0,3628,3146,435,1654,1057,13.3,0.0,0.0,86.7,12.0,45.6,29.1,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,3147,1346,66,775,505,0,35,3112,1766,30,189,1547,42.8,0.0,1.1,56.1,1.0,6.0,49.2,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,2215,143,14,13,116,2,0,2215,2070,654,672,744,6.5,0.1,0.0,93.5,29.5,30.3,33.6,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,3349,621,28,75,518,0,0,3349,2728,470,1777,481,18.5,0.0,0.0,81.5,14.0,53.1,14.4,315542.1435410684,180054.16599766392
W02000387,Cardiff 021,msoa,2419,202,18,57,127,0,0,2419,2217,443,1111,663,8.4,0.0,0.0,91.6,18.3,45.9,27.4,316534.8233989328,179882.69938471977
W02000384,Cardiff 018,msoa,2322,225,12,18,195,1,0,2322,2096,240,1727,129,9.7,0.0,0.0,90.3,10.3,74.4,5.6,317550.9609321383,179967.79436724854
W02000385,Cardiff 019,msoa,2453,472,11,39,422,1,0,2453,1980,652,1138,190,19.2,0.0,0.0,80.7,26.6,46.4,7.7,318931.73089975474,179967.89790040077
W02000383,Cardiff 017,msoa,3027,784,3,12,769,2,0,3027,2241,55,555,1631,25.9,0.1,0.0,74.0,1.8,18.3,53.9,320028.80355946417,180077.89351950734
W02000367,Cardiff 001,msoa,2456,228,6,15,207,1,4,2452,2223,1594,303,326,9.3,0.0,0.2,90.5,64.9,12.3,13.3,318112.1535024042,183540.9266083678
W02000370,Cardiff 004,msoa,2957,483,7,3,473,0,0,2957,2474,737,1602,135,16.3,0.0,0.0,83.7,24.9,54.2,4.6,315466.19002279395,182819.66194350368
W02000382,Cardiff 016,msoa,2342,532,5,11,516,0,0,2342,1810,111,1228,471,22.7,0.0,0.0,77.3,4.7,52.4,20.1,322749.2920302189,180021.5445260411
W02000379,Cardiff 013,msoa,2562,412,1,6,405,0,2,2560,2148,247,1042,859,16.1,0.0,0.1,83.8,9.6,40.7,33.5,323625.40885052015,180923.73970999802
