area_code,area_name,census_geography,rooms_all,rooms_2_plus,rooms_1_plus,rooms_0,rooms_1_minus,rooms_2_minus,rooms_2_plus_perc,rooms_1_plus_perc,rooms_0_perc,rooms_1_minus_perc,rooms_2_minus_perc,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,53505,32701,11396,7259,1754,395,61.1,21.3,13.6,3.3,0.7,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,142557,68989,30647,28029,11500,3392,48.4,21.5,19.7,8.1,2.4,316407.00000592414,174926.57615038028
W06000022,Newport,la,61172,32856,14414,9970,2962,970,53.7,23.6,16.3,4.8,1.6,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,99663,55312,25424,14659,3392,876,55.5,25.5,14.7,3.4,0.9,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,74479,40952,19044,11225,2686,572,55.0,25.6,15.1,3.6,0.8,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,4132,712,1023,1387,798,212,17.2,24.8,33.6,19.3,5.1,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,2688,1667,458,362,156,45,62.0,17.0,13.5,5.8,1.7,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,3566,1862,762,670,214,58,52.2,21.4,18.8,6.0,1.6,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,3096,2167,520,304,87,18,70.0,16.8,9.8,2.8,0.6,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,3628,2294,740,443,122,29,63.2,20.4,12.2,3.4,0.8,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,3147,1383,717,655,313,79,43.9,22.8,20.8,9.9,2.5,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,2215,1321,526,292,64,12,59.6,23.7,13.2,2.9,0.5,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,3349,2269,643,327,91,19,67.8,19.2,9.8,2.7,0.6,315542.1435410684,180054.16599766392
W02000387,Cardiff 021,msoa,2419,1699,414,241,52,13,70.2,17.1,10.0,2.1,0.5,316534.8233989328,179882.69938471977
W02000384,Cardiff 018,msoa,2322,1820,280,177,36,9,78.4,12.1,7.6,1.6,0.4,317550.9609321383,179967.79436724854
W02000385,Cardiff 019,msoa,2453,1719,430,191,93,20,70.1,17.5,7.8,3.8,0.8,318931.73089975474,179967.89790040077
W02000383,Cardiff 017,msoa,3027,1489,657,674,163,44,49.2,21.7,22.3,5.4,1.5,320028.80355946417,180077.89351950734
W02000367,Cardiff 001,msoa,2456,1868,354,182,44,8,76.1,14.4,7.4,1.8,0.3,318112.1535024042,183540.9266083678
W02000370,Cardiff 004,msoa,2957,2013,703,196,38,7,68.1,23.8,6.6,1.3,0.2,315466.19002279395,182819.66194350368
W02000382,Cardiff 016,msoa,2342,1077,537,565,122,41,46.0,22.9,24.1,5.2,1.8,322749.2920302189,180021.5445260411
W02000379,Cardiff 013,msoa,2562,715,787,818,191,51,27.9,30.7,31.9,7.5,2.0,323625.40885052015,180923.73970999802
W02000239,The Vale of Glamorgan 003,msoa,2688,2221,313,127,22,5,82.6,11.6,4.7,0.8,0.2,307395.09128592815,172945.20075659265
W02000277,Rhondda Cynon Taf 026,msoa,3098,1565,779,554,161,39,50.5,25.1,17.9,5.2,1.3,311566.88545201515,185662.7045601383
W02000404,Cardiff 038,msoa,2786,1041,701,716,234,94,37.4,25.2,25.7,8.4,3.4,320137.30289849057,176413.19151841872
W02000403,Cardiff 037,msoa,3077,1158,798,741,299,81,37.6,25.9,24.1,9.7,2.6,321271.4848485954,176861.40012527682
W02000388,Cardiff 022,msoa,2384,1528,471,299,68,18,64.1,19.8,12.5,2.9,0.8,321965.14948186494,178662.45996821942
W02000375,Cardiff 009,msoa,2783,1303,675,548,218,39,46.8,24.3,19.7,7.8,1.4,320579.61476656364,180624.39380982492
W02000381,Cardiff 015,msoa,2799,1290,781,555,139,34,46.1,27.9,19.8,5.0,1.2,321687.65765538416,180215.05874170273
W02000410,Cardiff 044,msoa,3039,1263,675,665,311,125,41.6,22.2,21.9,10.2,4.1,317772.248829523,175402.7775575231
W02000408,Cardiff 042,msoa,3011,907,583,894,430,197,30.1,19.4,29.7,14.3,6.5,317299.1560895332,176286.47525633706
W02000398,Cardiff 032,msoa,3453,516,533,1128,978,298,14.9,15.4,32.7,28.3,8.6,317959.0454378823,176979.98436992243
W02000394,Cardiff 028,msoa,2739,860,585,783,406,105,31.4,21.4,28.6,14.8,3.8,317951.72353768157,178375.20505895797
W02000373,Cardiff 007,msoa,2668,1337,631,550,118,32,50.1,23.7,20.6,4.4,1.2,322588.40423120663,181375.121819115
W02000376,Cardiff 010,msoa,2989,1638,729,466,131,25,54.8,24.4,15.6,4.4,0.8,313880.2201269126,182058.28384689707
W02000368,Cardiff 002,msoa,2488,1463,648,312,47,18,58.8,26.0,12.5,1.9,0.7,317055.78963273147,182947.95795937997
W02000369,Cardiff 003,msoa,3115,1885,685,439,92,14,60.5,22.0,14.1,3.0,0.4,321946.49976866436,183085.80415493637
W02000399,Cardiff 033,msoa,4602,1098,799,1291,1002,412,23.9,17.4,28.1,21.8,9.0,319276.1774547001,177295.50443569018
W02000402,Cardiff 036,msoa,4064,1124,849,1189,655,247,27.7,20.9,29.3,16.1,6.1,319762.9575245634,176950.699963194
W02000396,Cardiff 030,msoa,2963,1135,687,632,354,155,38.3,23.2,21.3,11.9,5.2,318867.44077411183,178257.26712803706
W02000395,Cardiff 029,msoa,2727,1532,467,442,215,71,56.2,17.1,16.2,7.9,2.6,320227.0097875482,178355.99962600775
W02000390,Cardiff 024,msoa,2365,1661,389,232,68,15,70.2,16.4,9.8,2.9,0.6,319795.8285386419,178955.58785246368
W02000374,Cardiff 008,msoa,2293,1801,349,113,27,3,78.5,15.2,4.9,1.2,0.1,319229.36908083636,181349.99125136307
W02000412,Cardiff 046,msoa,2804,1086,676,692,264,86,38.7,24.1,24.7,9.4,3.1,317410.07679263654,174997.84924464396
W02000422,Cardiff 048,msoa,3654,292,889,1360,963,150,8.0,24.3,37.2,26.4,4.1,319494.12760848907,170171.27437436898
W02000391,Cardiff 025,msoa,2426,1207,487,456,208,68,49.8,20.1,18.8,8.6,2.8,317053.523163438,178608.11445396586
W02000371,Cardiff 005,msoa,3989,2055,769,770,350,45,51.5,19.3,19.3,8.8,1.1,317748.78187170904,181776.48083822106
W02000392,Cardiff 026,msoa,3794,2511,739,420,105,19,66.2,19.5,11.1,2.8,0.5,314848.42851463234,178393.50785419712
W02000393,Cardiff 027,msoa,2963,1306,853,638,130,36,44.1,28.8,21.5,4.4,1.2,313524.564148278,178341.46818095483
W02000397,Cardiff 031,msoa,2985,1538,583,661,151,52,51.5,19.5,22.1,5.1,1.7,313843.8804615948,177536.20537766753
W02000405,Cardiff 039,msoa,2996,972,810,896,246,72,32.4,27.0,29.9,8.2,2.4,313246.7454842016,176588.02629035947
W02000407,Cardiff 041,msoa,2637,994,734,669,186,54,37.7,27.8,25.4,7.1,2.0,314486.2806574489,176231.06466606655
