area_code,area_name,census_geography,all_residents,area_ha,density,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,126336,33095.28,3.8,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,346090,14038.2,24.7,316407.00000592414,174926.57615038028
W06000022,Newport,la,145736,19051.6,7.6,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,234410,42412.97,5.5,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,178806,27745.02,6.4,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,8228,182.58,45.1,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,5947,89.44,66.5,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,8357,218.95,38.2,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,7384,166.92,44.2,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,8714,336.78,25.9,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,6531,190.08,34.4,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,5455,3269.61,1.7,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,7748,174.37,44.4,315542.1435410684,180054.16599766392
W02000387,Cardiff 021,msoa,5962,108.68,54.9,316534.8233989328,179882.69938471977
W02000384,Cardiff 018,msoa,5753,197.69,29.1,317550.9609321383,179967.79436724854
W02000385,Cardiff 019,msoa,6818,199.18,34.2,318931.73089975474,179967.89790040077
W02000383,Cardiff 017,msoa,7219,124.08,58.2,320028.80355946417,180077.89351950734
W02000367,Cardiff 001,msoa,6068,863.53,7,318112.1535024042,183540.9266083678
W02000370,Cardiff 004,msoa,6509,508.05,12.8,315466.19002279395,182819.66194350368
W02000382,Cardiff 016,msoa,5738,122.91,46.7,322749.2920302189,180021.5445260411
W02000379,Cardiff 013,msoa,6270,108.14,58,323625.40885052015,180923.73970999802
W02000239,The Vale of Glamorgan 003,msoa,6679,10819.29,0.6,307395.09128592815,172945.20075659265
W02000277,Rhondda Cynon Taf 026,msoa,7000,1135.74,6.2,311566.88545201515,185662.7045601383
W02000404,Cardiff 038,msoa,6048,174.21,34.7,320137.30289849057,176413.19151841872
W02000403,Cardiff 037,msoa,7213,314.21,23,321271.4848485954,176861.40012527682
W02000388,Cardiff 022,msoa,5888,269.47,21.9,321965.14948186494,178662.45996821942
W02000375,Cardiff 009,msoa,7062,211.83,33.3,320579.61476656364,180624.39380982492
W02000381,Cardiff 015,msoa,6271,210.45,29.8,321687.65765538416,180215.05874170273
W02000410,Cardiff 044,msoa,8423,74.66,112.8,317772.248829523,175402.7775575231
W02000408,Cardiff 042,msoa,7240,68.5,105.7,317299.1560895332,176286.47525633706
W02000398,Cardiff 032,msoa,11199,235.97,47.5,317959.0454378823,176979.98436992243
W02000394,Cardiff 028,msoa,8922,98.44,90.6,317951.72353768157,178375.20505895797
W02000373,Cardiff 007,msoa,6541,145.72,44.9,322588.40423120663,181375.121819115
W02000376,Cardiff 010,msoa,6780,658.27,10.3,313880.2201269126,182058.28384689707
W02000368,Cardiff 002,msoa,5946,128.56,46.3,317055.78963273147,182947.95795937997
W02000369,Cardiff 003,msoa,7968,805.04,9.9,321946.49976866436,183085.80415493637
W02000399,Cardiff 033,msoa,10087,92.16,109.5,319276.1774547001,177295.50443569018
W02000402,Cardiff 036,msoa,10371,106.68,97.2,319762.9575245634,176950.699963194
W02000396,Cardiff 030,msoa,8079,70.73,114.2,318867.44077411183,178257.26712803706
W02000395,Cardiff 029,msoa,6322,161.35,39.2,320227.0097875482,178355.99962600775
W02000390,Cardiff 024,msoa,6335,173.64,36.5,319795.8285386419,178955.58785246368
W02000374,Cardiff 008,msoa,5683,204.36,27.8,319229.36908083636,181349.99125136307
W02000412,Cardiff 046,msoa,6816,186.14,36.6,317410.07679263654,174997.84924464396
W02000422,Cardiff 048,msoa,6043,498.39,12.1,319494.12760848907,170171.27437436898
W02000391,Cardiff 025,msoa,8790,126.98,69.2,317053.523163438,178608.11445396586
W02000371,Cardiff 005,msoa,9110,274.12,33.2,317748.78187170904,181776.48083822106
W02000392,Cardiff 026,msoa,8997,255.42,35.2,314848.42851463234,178393.50785419712
W02000393,Cardiff 027,msoa,6342,156.03,40.6,313524.564148278,178341.46818095483
W02000397,Cardiff 031,msoa,6639,150.09,44.2,313843.8804615948,177536.20537766753
W02000405,Cardiff 039,msoa,7507,125.45,59.8,313246.7454842016,176588.02629035947
