area_code,area_name,census_geography,social_grade_all,social_grade_ab,social_grade_c1,social_grade_c2,social_grade_de,social_grade_ab_perc,social_grade_c1_perc,social_grade_c2_perc,social_grade_de_perc,centroid_x,centroid_y
W06000014,Vale of Glamorgan,la,38297,8987,12713,8030,8567,23.5,33.2,21.0,22.4,302625.71221693687,173083.2783448837
W06000015,Cardiff,la,111943,27977,39055,16939,27972,25.0,34.9,15.1,25.0,316407.00000592414,174926.57615038028
W06000022,Newport,la,45143,7978,13534,9259,14372,17.7,30.0,20.5,31.8,333356.79405248025,186752.70034474696
W06000016,Rhondda Cynon Taf,la,72529,10068,20428,17216,24817,13.9,28.2,23.7,34.2,302236.23722295207,197166.84563830242
W06000018,Caerphilly,la,54473,7770,15190,13013,18500,14.3,27.9,23.9,34.0,317244.1408230999,197757.03416726863
W02000423,Cardiff 049,msoa,3594,1096,1226,348,924,30.5,34.1,9.7,25.7,318618.12511961395,174962.34705778724
W02000401,Cardiff 035,msoa,2078,747,737,283,311,35.9,35.5,13.6,15.0,315454.1615837222,176941.41802861867
W02000406,Cardiff 040,msoa,2897,745,983,475,694,25.7,33.9,16.4,24.0,315929.2272543325,175957.24295692833
W02000378,Cardiff 012,msoa,2085,810,745,291,239,38.8,35.7,14.0,11.5,316013.34715396364,180885.61441988277
W02000240,The Vale of Glamorgan 004,msoa,2545,569,900,543,533,22.4,35.4,21.3,20.9,317029.40585623286,172438.11839127637
W02000400,Cardiff 034,msoa,2698,1232,911,224,331,45.7,33.8,8.3,12.3,316724.13716677355,177369.28883387134
W02000310,Caerphilly 021,msoa,1714,393,465,340,516,22.9,27.1,19.8,30.1,320260.5282645477,187209.2980906947
W02000386,Cardiff 020,msoa,2190,818,744,349,279,37.4,34.0,15.9,12.7,315542.1435410684,180054.16599766392
W02000387,Cardiff 021,msoa,1715,559,638,305,213,32.6,37.2,17.8,12.4,316534.8233989328,179882.69938471977
W02000384,Cardiff 018,msoa,1604,684,558,212,150,42.6,34.8,13.2,9.4,317550.9609321383,179967.79436724854
W02000385,Cardiff 019,msoa,1590,750,526,167,147,47.2,33.1,10.5,9.2,318931.73089975474,179967.89790040077
W02000383,Cardiff 017,msoa,2372,217,741,488,926,9.1,31.2,20.6,39.0,320028.80355946417,180077.89351950734
W02000367,Cardiff 001,msoa,1636,768,573,159,136,46.9,35.0,9.7,8.3,318112.1535024042,183540.9266083678
W02000370,Cardiff 004,msoa,1611,643,589,232,147,39.9,36.6,14.4,9.1,315466.19002279395,182819.66194350368
W02000382,Cardiff 016,msoa,1741,135,433,414,759,7.8,24.9,23.8,43.6,322749.2920302189,180021.5445260411
W02000379,Cardiff 013,msoa,2187,196,593,423,975,9.0,27.1,19.3,44.6,323625.40885052015,180923.73970999802
W02000239,The Vale of Glamorgan 003,msoa,1804,734,617,282,171,40.7,34.2,15.6,9.5,307395.09128592815,172945.20075659265
W02000277,Rhondda Cynon Taf 026,msoa,2251,364,684,546,657,16.2,30.4,24.3,29.2,311566.88545201515,185662.7045601383
W02000404,Cardiff 038,msoa,2288,363,694,394,837,15.9,30.3,17.2,36.6,320137.30289849057,176413.19151841872
