A,B,C,D,E
18316089|War Memorial|03170245|317996|174906|1||osgb5000005250947823|1|5801055|3|28.1||||South Glamorgan|CF11|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18763407|Water Wheel|03170245|311541|177171|2||Not Assigned|0|5801423|3|175.7||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18763515|Water Wheel|03170245|311357|177218|2||Not Assigned|0|5805051|3|332.3||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18763531|Water Wheel|03170245|314196|179963|2||Not Assigned|0|5802019|3|29.4||||South Glamorgan|CF14|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18399410|War Memorial|03170245|317895|178373|1||osgb1000000277197521|5|5803649|3|16||||South Glamorgan|CF24|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316176|Gospel Hall|06340459|317466|175278|1|10023544484|osgb1000002706066360|2|5801467|3|16||||South Glamorgan|CF11|Caerdydd - Cardiff||||Religion|Other (Christian)|Ordnance Survey|2024-12-01,,,,
18316199|Llandaff North Gospel Hall|06340459|314931|178834|1|10023550285|osgb1000027037409|3|5802220|3|10.1||||South Glamorgan|CF14|Caerdydd - Cardiff||||Religion|Other (Christian)|Ordnance Survey|2024-12-01,,,,
18316229|Adamsdown Gospel Hall|06340459|319478|176455|1|10023542941|osgb1000027254674|4|5801106|3|18.2||||South Glamorgan|CF24|Caerdydd - Cardiff||||Religion|Other (Christian)|Ordnance Survey|2024-12-01,,,,
18316232|Ely Gospel Hall|06340459|313413|176413|1|10008903887|osgb1000027010791|3|5801685|3|24.4||||South Glamorgan|CF5|Caerdydd - Cardiff||||Religion|Other (Christian)|Ordnance Survey|2024-12-01,,,,
18316241|Ebenezer Gospel Hall|06340459|318282|174778|1|200002932340|osgb1000027215340|5|5804356|3|18.5||||South Glamorgan|CF11|Caerdydd - Cardiff||||Religion|Other (Christian)|Ordnance Survey|2024-12-01,,,,
18315933|Heath Gospel Hall|06340459|317309|179018|1|10023546646|osgb1000027184230|3|5804081|3|8.9||||South Glamorgan|CF14|Caerdydd - Cardiff||||Religion|Other (Christian)|Ordnance Survey|2024-12-01,,,,
18316210|Fairwater Gospel Hall|06340459|313799|177922|1|10023550302|osgb1000027011476|4|5800761|3|15.8||||South Glamorgan|CF5|Caerdydd - Cardiff||||Religion|Other (Christian)|Ordnance Survey|2024-12-01,,,,
18316174|Kingdom Hall of Jehovah's Witnesses|06340459|317294|178268|1|10002507858|osgb1000027182574|7|5804595|3|19||||South Glamorgan|CF14|Caerdydd - Cardiff||www.jw.org/en/|Jehovah's Witnesses|Religion|Jehovah's Witnesses (Christian)|Ordnance Survey|2024-12-01,,,,
18316249|Kingdom Hall of Jehovah's Witnesses|06340459|316161|176540|1|200002938678|osgb1000027121764|4|5802197|3|12.2||||South Glamorgan|CF5|Caerdydd - Cardiff||www.jw.org/en/|Jehovah's Witnesses|Religion|Jehovah's Witnesses (Christian)|Ordnance Survey|2024-12-01,,,,
18315924|Welsh National War Memorial|03170245|318136|177064|1|10008904989|osgb1000000277434151|5|5801429|3|60.4||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316143|War Memorial|03170245|318249|179039|2||Not Assigned|0|5803651|3|42.4||||South Glamorgan|CF14|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316085|War Memorial|03170245|315447|178123|1||osgb1000000276697836|4|5801926|3|4.9||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316164|War Memorial|03170245|312096|177199|1||osgb1000000276252088|5|5800848|3|10.9||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316341|War Memorial|03170245|313284|180263|1||osgb5000005192845782|1|5800956|3|10.5||||South Glamorgan|CF15|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18316416|War Memorial|03170245|319180|182958|1||osgb1000000277696389|4|5803659|3|4.3||||South Glamorgan|CF14|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18763262|Tumulus|03170240|315358|174336|2||Not Assigned|0|41502159|3|193.9||||South Glamorgan|CF11|Bro Morgannwg - the Vale of Glamorgan||||||Ordnance Survey|2024-12-01,,,,
17600457|Lych Gate|03170245|317613|181802|1||osgb5000005190499114|1|5801873|3|8.2||||South Glamorgan|CF14|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17600550|Lych Gate|03170245|319337|180569|1||osgb1000027266826|4|5800571|3|9.6||||South Glamorgan|CF23|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17598819|Lych Gate|03170245|315525|178071|1||osgb5000005190700171|1|5805650|3|6.8||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17598890|Lych Gate|03170245|314260|176565|1||osgb1000027033169|3|5803651|3|6.2||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17599182|Lych Gate|03170245|313938|179018|1||osgb1000027016810|3|5803432|3|24.9||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17600944|Lych Gate|03170245|319130|183078|1||osgb1000000277698891|4|5800388|3|8.4||||South Glamorgan|CF14|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17605266|Lych Gate|03170245|321476|179110|1||osgb1000027320992|3|5800389|3|6.2||||South Glamorgan|CF3|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17600233|Lych Gate|03170245|315405|180064|1||osgb1000027089176|3|5801570|3|8.4||||South Glamorgan|CF14|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17605623|Lych Gate|03170245|322928|181449|1||osgb1000000277975541|4|5800383|3|2.6||||South Glamorgan|CF3|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17599726|Lych Gate|03170245|312093|177209|1||osgb1000000276252305|6|5800848|3|8.3||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17599116|Fountain|03170245|319215|174711|2||Not Assigned|0|5803650|3|12.6||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
20295311|Fountain|03170245|318316|176846|2||Not Assigned|0|5803646|3|41.1||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
17598761|Fountain|03170245|318019|173707|2||Not Assigned|0|5803460|3|38||||South Glamorgan|CF11|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
